Session,RC,RT,MC,LT,JP,AD,Volume(%)
15,B,0.503694979418924,4,Y,L,34,67
15,B,0.746359102244355,3,W,R,0,50
15,B,1.03645254334037,4,Y,L,34,67
15,B,0.907116545984422,3,Y,R,0,50
15,B,0.507050746627328,4,Y,L,34,67
15,B,0.452480846077606,1,Y,R,80,90
15,B,0.486442327915142,5,W,R,80,90
15,B,0.459705555388609,5,W,R,80,90
15,B,0.46928311750753,5,Y,L,80,90
15,B,0.569319472403322,1,Y,R,80,90
15,B,0.509898446654461,4,W,R,34,67
15,B,0.48630472012735,5,W,R,80,90
15,B,0.586023495478116,3,W,R,0,50
15,B,0.590194693987996,2,W,L,34,67
15,B,0.828484211158866,2,W,L,34,67
15,B,0.571840579274635,3,Y,R,0,50
15,B,0.486412282546553,5,W,R,80,90
15,B,0.504234894691081,3,W,R,0,50
15,B,1.52070666706732,2,W,L,34,67
15,B,0.937171529008765,3,Y,L,0,50
15,B,0.569927590661791,4,Y,L,34,67
15,B,0.477009284018777,5,Y,L,80,90
15,B,0.554279061382886,1,W,L,80,90
15,B,0.457351500766208,3,W,L,0,50
15,B,0.774728239641718,3,Y,L,0,50
15,B,0.602744644412951,2,W,L,34,67
15,B,0.524303097677375,4,Y,L,34,67
15,B,0.643947961421645,4,Y,L,34,67
15,B,1.08002043085048,3,Y,L,0,50
15,B,0.468788570741708,5,Y,L,80,90
15,B,0.53644292882268,1,W,L,80,90
15,B,0.5442898777153,5,Y,L,80,90
15,B,0.478152209836935,2,W,L,34,67
15,B,1.59065108313553,3,Y,L,0,50
15,B,1.68711985097502,5,Y,L,80,90
15,B,0.560486434515951,3,Y,L,0,50
15,B,0.575199050566198,4,W,R,34,67
15,B,0.697466574527652,1,W,L,80,90
15,B,0.454571703271768,5,Y,L,80,90
15,B,0.843658324069338,1,Y,R,80,90
15,B,0.594584622780303,1,W,L,80,90
15,B,0.50255896403587,1,Y,R,80,90
15,B,0.495263047201206,4,Y,L,34,67
15,B,0.428441246281864,4,W,R,34,67
15,B,0.803257518853343,3,W,R,0,50
15,B,0.409540906769053,5,W,R,80,90
15,B,0.391102665024164,4,Y,L,34,67
15,B,0.412781600216249,5,W,R,80,90
15,B,0.546396959408867,2,W,L,34,67
15,B,0.756137066971178,2,Y,R,34,67
15,B,0.803717513445463,3,W,R,0,50
15,M,0.946269266592566,3,W,R,0,50
15,M,0.686649941411588,2,Y,R,34,67
15,M,0.986356698614884,3,Y,R,0,50
15,M,0.912392813147846,1,Y,R,80,90
15,M,0.635754288976329,5,W,R,80,90
15,M,0.719663491872723,1,W,L,80,90
15,M,0.552542138629349,4,Y,L,34,67
15,M,0.476107622509971,5,Y,L,80,90
15,M,0.507913048703529,4,W,R,34,67
15,M,0.527186852146713,3,W,R,0,50
15,M,0.486465462848912,4,W,R,34,67
15,M,0.818112549950456,1,W,L,80,90
15,M,0.569487726466946,4,W,R,34,67
15,M,0.752982904185387,2,Y,R,34,67
15,M,0.644768199981968,4,W,R,34,67
15,M,0.538151909383146,3,W,R,0,50
15,M,0.603285761499819,3,Y,R,0,50
15,M,0.44716251539819,4,W,R,34,67
15,M,0.539418021211986,4,Y,L,34,67
15,M,0.493318811405288,4,W,R,34,67
15,M,0.436242526214528,2,Y,R,34,67
15,M,0.413769792386461,1,Y,R,80,90
15,M,1.01052849803204,4,W,R,34,67
15,M,0.425306312531916,1,Y,R,80,90
15,M,1.58798275395839,2,W,L,34,67
15,M,0.576177327764867,4,W,R,34,67
15,M,0.593427876092846,1,W,L,80,90
15,M,0.608408797283914,4,Y,L,34,67
15,M,0.55268034732444,2,W,L,34,67
15,M,0.541404020070217,2,Y,R,34,67
15,M,0.502909293032644,1,Y,R,80,90
15,M,0.442728419914147,5,W,R,80,90
15,M,0.758293423068835,3,W,R,0,50
15,M,0.570028242646458,1,Y,R,80,90
15,M,0.969861791304766,3,Y,L,0,50
15,M,0.503143045999423,5,W,R,80,90
15,M,0.519268695730716,5,Y,L,80,90
15,M,0.513414656130635,5,Y,L,80,90
15,M,0.496910134302652,5,Y,L,80,90
15,M,0.642913198930501,3,W,R,0,50
15,M,0.720635159090079,2,Y,R,34,67
15,M,0.522974191028425,1,W,L,80,90
15,M,0.43631343328434,1,Y,R,80,90
15,M,0.737211789802586,3,Y,L,0,50
15,M,0.636111528408037,4,Y,L,34,67
15,M,0.672369978667803,1,W,L,80,90
15,M,1.03797163717195,2,W,R,34,33
